Continente;Ordem continente;País;Ordem país;UF;Ordem UF;Via de acesso;Ordem via de acesso;Ano;Mês;Ordem mês;Chegadas;
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;2014;janeiro;1;0;
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;2014;janeiro;1;0;
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;2014;janeiro;1;1;
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;2014;janeiro;1;30;
Ásia;5;China;43;Amazonas;4;Aérea;1;2014;janeiro;1;6;
Ásia;5;Índia;113;Amazonas;4;Aérea;1;2014;janeiro;1;1;
Ásia;5;Israel;119;Amazonas;4;Aérea;1;2014;janeiro;1;5;
Ásia;5;Japão;122;Amazonas;4;Aérea;1;2014;janeiro;1;66;
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;2014;janeiro;1;17;
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;2014;janeiro;1;22;
Europa;6;Alemanha;4;Amazonas;4;Aérea;1;2014;janeiro;1;332;
Europa;6;Áustria;15;Amazonas;4;Aérea;1;2014;janeiro;1;7;
Europa;6;Bélgica;21;Amazonas;4;Aérea;1;2014;janeiro;1;4;
Europa;6;Dinamarca;57;Amazonas;4;Aérea;1;2014;janeiro;1;1;
Europa;6;Reino Unido;67;Amazonas;4;Aérea;1;2014;janeiro;1;12;
Europa;6;Finlândia;73;Amazonas;4;Aérea;1;2014;janeiro;1;2;
Europa;6;França;74;Amazonas;4;Aérea;1;2014;janeiro;1;19;
Europa;6;Grécia;81;Amazonas;4;Aérea;1;2014;janeiro;1;0;
Europa;6;Holanda;92;Amazonas;4;Aérea;1;2014;janeiro;1;20;
Europa;6;Hungria;94;Amazonas;4;Aérea;1;2014;janeiro;1;0;
Europa;6;Reino Unido;182;Amazonas;4;Aérea;1;2014;janeiro;1;54;
Europa;6;Irlanda;117;Amazonas;4;Aérea;1;2014;janeiro;1;3;
Europa;6;Itália;120;Amazonas;4;Aérea;1;2014;janeiro;1;14;
Europa;6;Noruega;164;Amazonas;4;Aérea;1;2014;janeiro;1;0;
Europa;6;Polônia;177;Amazonas;4;Aérea;1;2014;janeiro;1;1;
Europa;6;Portugal;179;Amazonas;4;Aérea;1;2014;janeiro;1;5;
Europa;6;República Tcheca;187;Amazonas;4;Aérea;1;2014;janeiro;1;0;
Europa;6;Rússia;190;Amazonas;4;Aérea;1;2014;janeiro;1;3;
Europa;6;Suécia;215;Amazonas;4;Aérea;1;2014;janeiro;1;7;
Europa;6;Suíça;216;Amazonas;4;Aérea;1;2014;janeiro;1;16;
Europa;6;Outros países;998;Amazonas;4;Aérea;1;2014;janeiro;1;5;
Oceania;7;Austrália;14;Amazonas;4;Aérea;1;2014;janeiro;1;9;
Oceania;7;Nova Zelândia;166;Amazonas;4;Aérea;1;2014;janeiro;1;0;
Oceania;7;Outros países;998;Amazonas;4;Aérea;1;2014;janeiro;1;0;
Continente não especificado;8;Países não especificados;999;Amazonas;4;Aérea;1;2014;janeiro;1;0;
África;1;África do Sul;2;Amazonas;4;Aérea;1;2014;fevereiro;2;0;
África;1;Angola;6;Amazonas;4;Aérea;1;2014;fevereiro;2;0;
África;1;Cabo Verde;35;Amazonas;4;Aérea;1;2014;fevereiro;2;0;
África;1;Nigéria;162;Amazonas;4;Aérea;1;2014;fevereiro;2;0;
África;1;Outros países;998;Amazonas;4;Aérea;1;2014;fevereiro;2;1;
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;2014;fevereiro;2;3;
América Central e Caribe;2;Cuba;55;Amazonas;4;Aérea;1;2014;fevereiro;2;11;
América Central e Caribe;2;Guatemala;84;Amazonas;4;Aérea;1;2014;fevereiro;2;0;
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;2014;fevereiro;2;5;
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;2014;fevereiro;2;16;
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;2014;fevereiro;2;81;
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;2014;fevereiro;2;1600;
América do Norte;3;México;148;Amazonas;4;Aérea;1;2014;fevereiro;2;34;
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;2014;fevereiro;2;25;
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;2014;fevereiro;2;0;
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;2014;fevereiro;2;0;
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;2014;fevereiro;2;47;
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;2014;fevereiro;2;8;
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;2014;fevereiro;2;0;
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;2014;fevereiro;2;0;
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;2014;fevereiro;2;34;
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;2014;fevereiro;2;0;
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;2014;fevereiro;2;0;
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;2014;fevereiro;2;2;
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;2014;fevereiro;2;47;
Ásia;5;China;43;Amazonas;4;Aérea;1;2014;fevereiro;2;20;
Ásia;5;Índia;113;Amazonas;4;Aérea;1;2014;fevereiro;2;6;
Ásia;5;Israel;119;Amazonas;4;Aérea;1;2014;fevereiro;2;9;
Ásia;5;Japão;122;Amazonas;4;Aérea;1;2014;fevereiro;2;63;
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;2014;fevereiro;2;28;
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;2014;fevereiro;2;14;
Europa;6;Alemanha;4;Amazonas;4;Aérea;1;2014;fevereiro;2;20;
Europa;6;Áustria;15;Amazonas;4;Aérea;1;2014;fevereiro;2;1;
Europa;6;Bélgica;21;Amazonas;4;Aérea;1;2014;fevereiro;2;3;
Europa;6;Dinamarca;57;Amazonas;4;Aérea;1;2014;fevereiro;2;4;
Europa;6;Espanha;67;Amazonas;4;Aérea;1;2014;fevereiro;2;25;
Europa;6;Finlândia;73;Amazonas;4;Aérea;1;2014;fevereiro;2;5;
Europa;6;França;74;Amazonas;4;Aérea;1;2014;fevereiro;2;14;
Europa;6;Grécia;81;Amazonas;4;Aérea;1;2014;fevereiro;2;1;
Europa;6;Holanda;92;Amazonas;4;Aérea;1;2014;fevereiro;2;5;
Europa;6;Hungria;94;Amazonas;4;Aérea;1;2014;fevereiro;2;0;
Europa;6;Reino Unido;182;Amazonas;4;Aérea;1;2014;fevereiro;2;47;
Europa;6;Irlanda;117;Amazonas;4;Aérea;1;2014;fevereiro;2;5;
Europa;6;Itália;120;Amazonas;4;Aérea;1;2014;fevereiro;2;7;
Europa;6;Noruega;164;Amazonas;4;Aérea;1;2014;fevereiro;2;1;
Europa;6;Polônia;177;Amazonas;4;Aérea;1;2014;fevereiro;2;3;
Europa;6;Portugal;179;Amazonas;4;Aérea;1;2014;fevereiro;2;6;
Europa;6;República Tcheca;187;Amazonas;4;Aérea;1;2014;fevereiro;2;0;
Europa;6;Rússia;190;Amazonas;4;Aérea;1;2014;fevereiro;2;2;
Europa;6;Suécia;215;Amazonas;4;Aérea;1;2014;fevereiro;2;9;
Europa;6;Suíça;216;Amazonas;4;Aérea;1;2014;fevereiro;2;5;
Europa;6;Outros países;998;Amazonas;4;Aérea;1;2014;fevereiro;2;15;
Oceania;7;Austrália;14;Amazonas;4;Aérea;1;2014;fevereiro;2;15;
Oceania;7;Nova Zelândia;166;Amazonas;4;Aérea;1;2014;fevereiro;2;0;
Oceania;7;Outros países;998;Amazonas;4;Aérea;1;2014;fevereiro;2;0;
Continente não especificado;8;Países não especificados;999;Amazonas;4;Aérea;1;2014;fevereiro;2;0;
África;1;África do Sul;2;Amazonas;4;Aérea;1;2014;março;3;0;
África;1;Angola;6;Amazonas;4;Aérea;1;2014;março;3;0;
África;1;Cabo Verde;35;Amazonas;4;Aérea;1;2014;março;3;0;
África;1;Nigéria;162;Amazonas;4;Aérea;1;2014;março;3;0;
África;1;Outros países;998;Amazonas;4;Aérea;1;2014;março;3;2;
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;2014;março;3;15;
América Central e Caribe;2;Cuba;55;Amazonas;4;Aérea;1;2014;março;3;16;
América Central e Caribe;2;Guatemala;84;Amazonas;4;Aérea;1;2014;março;3;1;
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;2014;março;3;8;
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;2014;março;3;17;
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;2014;março;3;112;
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;2014;março;3;1804;
América do Norte;3;México;148;Amazonas;4;Aérea;1;2014;março;3;50;
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;2014;março;3;16;
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;2014;março;3;1;
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;2014;março;3;1;
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;2014;março;3;49;
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;2014;março;3;13;
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;2014;março;3;0;
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;2014;março;3;0;
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;2014;março;3;35;
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;2014;março;3;0;
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;2014;março;3;0;
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;2014;março;3;0;
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;2014;março;3;237;
Ásia;5;China;43;Amazonas;4;Aérea;1;2014;março;3;21;
Ásia;5;Índia;113;Amazonas;4;Aérea;1;2014;março;3;1;
Ásia;5;Israel;119;Amazonas;4;Aérea;1;2014;março;3;3;
Ásia;5;Japão;122;Amazonas;4;Aérea;1;2014;março;3;61;
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;2014;março;3;69;
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;2014;março;3;36;
Europa;6;Alemanha;4;Amazonas;4;Aérea;1;2014;março;3;28;
Europa;6;Áustria;15;Amazonas;4;Aérea;1;2014;março;3;5;
Europa;6;Bélgica;21;Amazonas;4;Aérea;1;2014;março;3;5;
Europa;6;Dinamarca;57;Amazonas;4;Aérea;1;2014;março;3;10;
Europa;6;Espanha;67;Amazonas;4;Aérea;1;2014;março;3;22;
Europa;6;Finlândia;73;Amazonas;4;Aérea;1;2014;março;3;20;
Europa;6;França;74;Amazonas;4;Aérea;1;2014;março;3;20;
Europa;6;Grécia;81;Amazonas;4;Aérea;1;2014;março;3;0;
Europa;6;Holanda;92;Amazonas;4;Aérea;1;2014;março;3;2;
Europa;6;Hungria;94;Amazonas;4;Aérea;1;2014;março;3;0;
Europa;6;Reino Unido;182;Amazonas;4;Aérea;1;2014;março;3;49;
Europa;6;Irlanda;117;Amazonas;4;Aérea;1;2014;março;3;9;
Europa;6;Itália;120;Amazonas;4;Aérea;1;2014;março;3;17;
Europa;6;Noruega;164;Amazonas;4;Aérea;1;2014;março;3;2;
Europa;6;Polônia;177;Amazonas;4;Aérea;1;2014;março;3;4;
Europa;6;Portugal;179;Amazonas;4;Aérea;1;2014;março;3;6;
Europa;6;República Tcheca;187;Amazonas;4;Aérea;1;2014;março;3;0;
Europa;6;Rússia;190;Amazonas;4;Aérea;1;2014;março;3;1;
Europa;6;Suécia;215;Amazonas;4;Aérea;1;2014;março;3;3;
Europa;6;Suíça;216;Amazonas;4;Aérea;1;2014;março;3;6;
Europa;6;Outros países;998;Amazonas;4;Aérea;1;2014;março;3;7;
Oceania;7;Austrália;14;Amazonas;4;Aérea;1;2014;março;3;10;
Oceania;7;Nova Zelândia;166;Amazonas;4;Aérea;1;2014;março;3;3;
Oceania;7;Outros países;998;Amazonas;4;Aérea;1;2014;março;3;0;
Continente não especificado;8;Países não especificados;999;Amazonas;4;Aérea;1;2014;março;3;0;
África;1;África do Sul;2;Amazonas;4;Aérea;1;2014;abril;4;2;
África;1;Angola;6;Amazonas;4;Aérea;1;2014;abril;4;0;
África;1;Cabo Verde;35;Amazonas;4;Aérea;1;2014;abril;4;0;
África;1;Nigéria;162;Amazonas;4;Aérea;1;2014;abril;4;0;
África;1;Outros países;998;Amazonas;4;Aérea;1;2014;abril;4;0;
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;2014;abril;4;14;
América Central e Caribe;2;Cuba;55;Amazonas;4;Aérea;1;2014;abril;4;15;
América Central e Caribe;2;Guatemala;84;Amazonas;4;Aérea;1;2014;abril;4;7;
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;2014;abril;4;13;
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;2014;abril;4;12;
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;2014;abril;4;21;
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;2014;abril;4;576;
América do Norte;3;México;148;Amazonas;4;Aérea;1;2014;abril;4;72;
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;2014;abril;4;4;
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;2014;abril;4;0;
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;2014;abril;4;2;
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;2014;abril;4;57;
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;2014;abril;4;10;
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;2014;abril;4;0;
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;2014;abril;4;0;
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;2014;abril;4;26;
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;2014;abril;4;0;
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;2014;abril;4;0;
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;2014;abril;4;0;
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;2014;abril;4;439;
Ásia;5;China;43;Amazonas;4;Aérea;1;2014;abril;4;4;
Ásia;5;Índia;113;Amazonas;4;Aérea;1;2014;abril;4;1;
Ásia;5;Israel;119;Amazonas;4;Aérea;1;2014;abril;4;2;
Ásia;5;Japão;122;Amazonas;4;Aérea;1;2014;abril;4;24;
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;2014;abril;4;33;
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;2014;abril;4;25;
Europa;6;Alemanha;4;Amazonas;4;Aérea;1;2014;abril;4;14;
Europa;6;Áustria;15;Amazonas;4;Aérea;1;2014;abril;4;0;
Europa;6;Bélgica;21;Amazonas;4;Aérea;1;2014;abril;4;2;
Europa;6;Dinamarca;57;Amazonas;4;Aérea;1;2014;abril;4;3;
Europa;6;Espanha;67;Amazonas;4;Aérea;1;2014;abril;4;11;
Europa;6;Finlândia;73;Amazonas;4;Aérea;1;2014;abril;4;3;
Europa;6;França;74;Amazonas;4;Aérea;1;2014;abril;4;16;
Europa;6;Grécia;81;Amazonas;4;Aérea;1;2014;abril;4;0;
Europa;6;Holanda;92;Amazonas;4;Aérea;1;2014;abril;4;5;
Europa;6;Hungria;94;Amazonas;4;Aérea;1;2014;abril;4;0;
Europa;6;Reino Unido;182;Amazonas;4;Aérea;1;2014;abril;4;10;
Europa;6;Irlanda;117;Amazonas;4;Aérea;1;2014;abril;4;2;
Europa;6;Itália;120;Amazonas;4;Aérea;1;2014;abril;4;6;
Europa;6;Noruega;164;Amazonas;4;Aérea;1;2014;abril;4;1;
Europa;6;Polônia;177;Amazonas;4;Aérea;1;2014;abril;4;1;
Europa;6;Portugal;179;Amazonas;4;Aérea;1;2014;abril;4;7;
Europa;6;República Tcheca;187;Amazonas;4;Aérea;1;2014;abril;4;0;
Europa;6;Rússia;190;Amazonas;4;Aérea;1;2014;abril;4;0;
Europa;6;Suécia;215;Amazonas;4;Aérea;1;2014;abril;4;1;
Europa;6;Suíça;216;Amazonas;4;Aérea;1;2014;abril;4;11;
Europa;6;Outros países;998;Amazonas;4;Aérea;1;2014;abril;4;5;
Oceania;7;Austrália;14;Amazonas;4;Aérea;1;2014;abril;4;17;
Oceania;7;Nova Zelândia;166;Amazonas;4;Aérea;1;2014;abril;4;0;
Oceania;7;Outros países;998;Amazonas;4;Aérea;1;2014;abril;4;0;
Continente não especificado;8;Países não especificados;999;Amazonas;4;Aérea;1;2014;abril;4;0;
África;1;África do Sul;2;Amazonas;4;Aérea;1;2014;maio;5;6;
África;1;Angola;6;Amazonas;4;Aérea;1;2014;maio;5;0;
África;1;Cabo Verde;35;Amazonas;4;Aérea;1;2014;maio;5;0;
África;1;Nigéria;162;Amazonas;4;Aérea;1;2014;maio;5;0;
África;1;Outros países;998;Amazonas;4;Aérea;1;2014;maio;5;1;
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;2014;maio;5;14;
América Central e Caribe;2;Cuba;55;Amazonas;4;Aérea;1;2014;maio;5;4;
América Central e Caribe;2;Guatemala;84;Amazonas;4;Aérea;1;2014;maio;5;0;
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;2014;maio;5;15;
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;2014;maio;5;20;
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;2014;maio;5;29;
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;2014;maio;5;1113;
América do Norte;3;México;148;Amazonas;4;Aérea;1;2014;maio;5;32;
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;2014;maio;5;15;
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;2014;maio;5;2;
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;2014;maio;5;2;
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;2014;maio;5;81;
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;2014;maio;5;4;
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;2014;maio;5;0;
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;2014;maio;5;0;
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;2014;maio;5;67;
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;2014;maio;5;2;
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;2014;maio;5;0;
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;2014;maio;5;0;
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;2014;maio;5;554;
Ásia;5;China;43;Amazonas;4;Aérea;1;2014;maio;5;7;
Ásia;5;Índia;113;Amazonas;4;Aérea;1;2014;maio;5;4;
Ásia;5;Israel;119;Amazonas;4;Aérea;1;2014;maio;5;5;
Ásia;5;Japão;122;Amazonas;4;Aérea;1;2014;maio;5;73;
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;2014;maio;5;24;
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;2014;maio;5;26;
Europa;6;Alemanha;4;Amazonas;4;Aérea;1;2014;maio;5;19;
Europa;6;Áustria;15;Amazonas;4;Aérea;1;2014;maio;5;0;
Europa;6;Bélgica;21;Amazonas;4;Aérea;1;2014;maio;5;6;
Europa;6;Dinamarca;57;Amazonas;4;Aérea;1;2014;maio;5;1;
Europa;6;Espanha;67;Amazonas;4;Aérea;1;2014;maio;5;11;
Europa;6;Finlândia;73;Amazonas;4;Aérea;1;2014;maio;5;9;
Europa;6;França;74;Amazonas;4;Aérea;1;2014;maio;5;40;
Europa;6;Grécia;81;Amazonas;4;Aérea;1;2014;maio;5;0;
Europa;6;Holanda;92;Amazonas;4;Aérea;1;2014;maio;5;5;
Europa;6;Hungria;94;Amazonas;4;Aérea;1;2014;maio;5;0;
Europa;6;Reino Unido;182;Amazonas;4;Aérea;1;2014;maio;5;17;
Europa;6;Irlanda;117;Amazonas;4;Aérea;1;2014;maio;5;7;
Europa;6;Itália;120;Amazonas;4;Aérea;1;2014;maio;5;9;
Europa;6;Noruega;164;Amazonas;4;Aérea;1;2014;maio;5;2;
Europa;6;Polônia;177;Amazonas;4;Aérea;1;2014;maio;5;0;
Europa;6;Portugal;179;Amazonas;4;Aérea;1;2014;maio;5;10;
Europa;6;República Tcheca;187;Amazonas;4;Aérea;1;2014;maio;5;0;
Europa;6;Rússia;190;Amazonas;4;Aérea;1;2014;maio;5;6;
Europa;6;Suécia;215;Amazonas;4;Aérea;1;2014;maio;5;2;
Europa;6;Suíça;216;Amazonas;4;Aérea;1;2014;maio;5;4;
Europa;6;Outros países;998;Amazonas;4;Aérea;1;2014;maio;5;3;
Oceania;7;Austrália;14;Amazonas;4;Aérea;1;2014;maio;5;9;
Oceania;7;Nova Zelândia;166;Amazonas;4;Aérea;1;2014;maio;5;0;
Oceania;7;Outros países;998;Amazonas;4;Aérea;1;2014;maio;5;0;
Continente não especificado;8;Países não especificados;999;Amazonas;4;Aérea;1;2014;maio;5;0;
África;1;África do Sul;2;Amazonas;4;Aérea;1;2014;junho;6;2;
África;1;Angola;6;Amazonas;4;Aérea;1;2014;junho;6;0;
África;1;Cabo Verde;35;Amazonas;4;Aérea;1;2014;junho;6;0;
África;1;Nigéria;162;Amazonas;4;Aérea;1;2014;junho;6;0;
África;1;Outros países;998;Amazonas;4;Aérea;1;2014;junho;6;0;
América Central e Caribe;2;Costa Rica;53;Amazonas;4;Aérea;1;2014;junho;6;177;
América Central e Caribe;2;Cuba;55;Amazonas;4;Aérea;1;2014;junho;6;11;
América Central e Caribe;2;Guatemala;84;Amazonas;4;Aérea;1;2014;junho;6;50;
América Central e Caribe;2;Panamá;170;Amazonas;4;Aérea;1;2014;junho;6;54;
América Central e Caribe;2;Outros países;998;Amazonas;4;Aérea;1;2014;junho;6;123;
América do Norte;3;Canadá;38;Amazonas;4;Aérea;1;2014;junho;6;322;
América do Norte;3;Estados Unidos;68;Amazonas;4;Aérea;1;2014;junho;6;5224;
América do Norte;3;México;148;Amazonas;4;Aérea;1;2014;junho;6;263;
América do Sul;4;Argentina;11;Amazonas;4;Aérea;1;2014;junho;6;12;
América do Sul;4;Bolívia;26;Amazonas;4;Aérea;1;2014;junho;6;4;
América do Sul;4;Chile;42;Amazonas;4;Aérea;1;2014;junho;6;18;
América do Sul;4;Colômbia;48;Amazonas;4;Aérea;1;2014;junho;6;301;
América do Sul;4;Equador;63;Amazonas;4;Aérea;1;2014;junho;6;313;
América do Sul;4;Guiana Francesa;87;Amazonas;4;Aérea;1;2014;junho;6;0;
América do Sul;4;Paraguai;173;Amazonas;4;Aérea;1;2014;junho;6;0;
América do Sul;4;Peru;174;Amazonas;4;Aérea;1;2014;junho;6;100;
América do Sul;4;Guiana;86;Amazonas;4;Aérea;1;2014;junho;6;2;
América do Sul;4;Suriname;217;Amazonas;4;Aérea;1;2014;junho;6;0;
América do Sul;4;Uruguai;234;Amazonas;4;Aérea;1;2014;junho;6;7;
América do Sul;4;Venezuela;238;Amazonas;4;Aérea;1;2014;junho;6;840;
Ásia;5;China;43;Amazonas;4;Aérea;1;2014;junho;6;32;
Ásia;5;Índia;113;Amazonas;4;Aérea;1;2014;junho;6;54;
Ásia;5;Israel;119;Amazonas;4;Aérea;1;2014;junho;6;10;
Ásia;5;Japão;122;Amazonas;4;Aérea;1;2014;junho;6;65;
Ásia;5;República da Coreia;184;Amazonas;4;Aérea;1;2014;junho;6;26;
Ásia;5;Outros países;998;Amazonas;4;Aérea;1;2014;junho;6;58;
Europa;6;Alemanha;4;Amazonas;4;Aérea;1;2014;junho;6;155;
Europa;6;Áustria;15;Amazonas;4;Aérea;1;2014;junho;6;0;
Europa;6;Bélgica;21;Amazonas;4;Aérea;1;2014;junho;6;13;
Europa;6;Dinamarca;57;Amazonas;4;Aérea;1;2014;junho;6;6;
Europa;6;Espanha;67;Amazonas;4;Aérea;1;2014;junho;6;59;
Europa;6;Finlândia;73;Amazonas;4;Aérea;1;2014;junho;6;19;
Europa;6;França;74;Amazonas;4;Aérea;1;2014;junho;6;81;
Europa;6;Grécia;81;Amazonas;4;Aérea;1;2014;junho;6;2;
Europa;6;Holanda;92;Amazonas;4;Aérea;1;2014;junho;6;33;
Europa;6;Hungria;94;Amazonas;4;Aérea;1;2014;junho;6;0;
Europa;6;Reino Unido;182;Amazonas;4;Aérea;1;2014;junho;6;1008;
Europa;6;Irlanda;117;Amazonas;4;Aérea;1;2014;junho;6;31;
Europa;6;Itália;120;Amazonas;4;Aérea;1;2014;junho;6;142;
Europa;6;Noruega;164;Amazonas;4;Aérea;1;2014;junho;6;11;
Europa;6;Polônia;177;Amazonas;4;Aérea;1;2014;junho;6;18;
Europa;6;Portugal;179;Amazonas;4;Aérea;1;2014;junho;6;674;
Europa;6;República Tcheca;187;Amazonas;4;Aérea;1;2014;junho;6;0;
Europa;6;Rússia;190;Amazonas;4;Aérea;1;2014;junho;6;12;
Europa;6;Suécia;215;Amazonas;4;Aérea;1;2014;junho;6;47;
Europa;6;Suíça;216;Amazonas;4;Aérea;1;2014;junho;6;154;
Europa;6;Outros países;998;Amazonas;4;Aérea;1;2014;junho;6;19;
Oceania;7;Austrália;14;Amazonas;4;Aérea;1;2014;junho;6;40;
Oceania;7;Nova Zelândia;166;Amazonas;4;Aérea;1;2014;junho;6;0;
Oceania;7;Outros países;998;Amazonas;4;Aérea;1;2014;junho;6;0;
Continente não especificado;8;Países não especificados;999;Amazonas;4;Aérea;1;2014;junho;6;0;
África;1;África do Sul;2;Amazonas;4;Aérea;1;2014;julho;7;0;
