;Kernel;Parameter1;Parameter2;MSE
89;Polinomial;4.45;1;4.913147957
51;Polinomial;2.55;1;4.913170431
55;Polinomial;2.75;1;4.913227492
79;Polinomial;3.95;1;4.913323873
97;Polinomial;4.85;1;4.913524544
64;Polinomial;3.2;1;4.913625919
100;Polinomial;5;1;4.913692548
57;Polinomial;2.85;1;4.913723216
73;Polinomial;3.65;1;4.913742059
58;Polinomial;2.9;1;4.913835195
44;Polinomial;2.2;1;4.913863785
81;Polinomial;4.05;1;4.913926428
87;Polinomial;4.35;1;4.913976352
92;Polinomial;4.6;1;4.914027999
90;Polinomial;4.5;1;4.914060575
54;Polinomial;2.7;1;4.914133119
94;Polinomial;4.7;1;4.914242624
88;Polinomial;4.4;1;4.914284745
82;Polinomial;4.1;1;4.914335411
59;Polinomial;2.95;1;4.914342759
76;Polinomial;3.8;1;4.914435614
60;Polinomial;3;1;4.914452883
70;Polinomial;3.5;1;4.914466086
96;Polinomial;4.8;1;4.914540148
77;Polinomial;3.85;1;4.914627171
95;Polinomial;4.75;1;4.914740409
41;Polinomial;2.05;1;4.91479571
45;Polinomial;2.25;1;4.914812467
65;Polinomial;3.25;1;4.914908143
91;Polinomial;4.55;1;4.914937239
72;Polinomial;3.6;1;4.914988756
93;Polinomial;4.65;1;4.915210913
50;Polinomial;2.5;1;4.915263733
43;Polinomial;2.15;1;4.915270604
86;Polinomial;4.3;1;4.915279775
47;Polinomial;2.35;1;4.915294673
78;Polinomial;3.9;1;4.915312278
84;Polinomial;4.2;1;4.915441849
63;Polinomial;3.15;1;4.915541974
74;Polinomial;3.7;1;4.915717766
61;Polinomial;3.05;1;4.915742008
52;Polinomial;2.6;1;4.916102636
66;Polinomial;3.3;1;4.916150161
99;Polinomial;4.95;1;4.916281677
85;Polinomial;4.25;1;4.916323183
83;Polinomial;4.15;1;4.916688019
68;Polinomial;3.4;1;4.91677726
53;Polinomial;2.65;1;4.916780897
75;Polinomial;3.75;1;4.916847484
98;Polinomial;4.9;1;4.916988911
39;Polinomial;1.95;1;4.919013155
102;Polinomial;0.15;2;4.927968556
38;Polinomial;1.9;1;4.929886752
222;Polinomial;1.2;3;4.93397111
36;Polinomial;1.8;1;4.93399958
34;Polinomial;1.7;1;4.934632564
7;Polinomial;0.35;1;4.934812926
18;Polinomial;0.9;1;4.935160898
8;Polinomial;0.4;1;4.935273779
30;Polinomial;1.5;1;4.935285143
26;Polinomial;1.3;1;4.935319026
14;Polinomial;0.7;1;4.935378999
9;Polinomial;0.45;1;4.935421556
16;Polinomial;0.8;1;4.935901556
6;Polinomial;0.3;1;4.936107906
17;Polinomial;0.85;1;4.936111479
22;Polinomial;1.1;1;4.936234639
15;Polinomial;0.75;1;4.936347822
35;Polinomial;1.75;1;4.936362374
23;Polinomial;1.15;1;4.936402098
19;Polinomial;0.95;1;4.93653567
21;Polinomial;1.05;1;4.936654082
11;Polinomial;0.55;1;4.936660134
28;Polinomial;1.4;1;4.936707661
4;Polinomial;0.2;1;4.936801975
24;Polinomial;1.2;1;4.936823203
20;Polinomial;1;1;4.936894966
13;Polinomial;0.65;1;4.936924188
12;Polinomial;0.6;1;4.937090278
25;Polinomial;1.25;1;4.937197644
33;Polinomial;1.65;1;4.937302669
27;Polinomial;1.35;1;4.93757934
5;Polinomial;0.25;1;4.937751129
31;Polinomial;1.55;1;4.937936313
32;Polinomial;1.6;1;4.938046282
37;Polinomial;1.85;1;4.938734023
29;Polinomial;1.45;1;4.939090869
10;Polinomial;0.5;1;4.939214988
221;Polinomial;1.15;3;4.942493628
218;Polinomial;1;3;4.942905327
215;Polinomial;0.85;3;4.942931672
219;Polinomial;1.05;3;4.942951101
216;Polinomial;0.9;3;4.94312271
217;Polinomial;0.95;3;4.943236746
303;Polinomial;0.3;4;4.943399384
3;Polinomial;0.15;1;4.944194322
214;Polinomial;0.8;3;4.944599749
220;Polinomial;1.1;3;4.944827712
2;Polinomial;0.1;1;4.945847169
207;Polinomial;0.45;3;4.95298182
208;Polinomial;0.5;3;4.953324277
213;Polinomial;0.75;3;4.955293361
209;Polinomial;0.55;3;4.959991124
210;Polinomial;0.6;3;4.961598278
211;Polinomial;0.65;3;4.961702582
212;Polinomial;0.7;3;4.961740903
403;Polinomial;0.35;5;4.964387262
206;Polinomial;0.4;3;4.986566212
490;Polinomial;4.7;5;4.991705866
205;Polinomial;0.35;3;4.998252148
204;Polinomial;0.3;3;5.083676384
480;Polinomial;4.2;5;5.156104348
101;Polinomial;0.1;2;5.191845387
402;Polinomial;0.3;5;5.219926981
203;Polinomial;0.25;3;5.247407678
302;Polinomial;0.25;4;5.264970221
493;Polinomial;4.85;5;5.294768543
202;Polinomial;0.2;3;5.354181224
484;Polinomial;4.4;5;5.425148118
301;Polinomial;0.2;4;5.433217837
401;Polinomial;0.25;5;5.437645455
201;Polinomial;0.15;3;5.457157719
400;Polinomial;0.2;5;5.551327949
200;Polinomial;0.1;3;5.55261696
300;Polinomial;0.15;4;5.569341917
399;Polinomial;0.15;5;5.618215889
299;Polinomial;0.1;4;5.634577142
398;Polinomial;0.1;5;5.636491087
382;Polinomial;4.25;4;5.716161623
390;Polinomial;4.65;4;5.731122022
388;Polinomial;4.55;4;6.073817018
478;Polinomial;4.1;5;8.776324665
487;Polinomial;4.55;5;14.47379631
495;Polinomial;4.95;5;19.41437964
