"","Continente","mes_ano","verao","primavera","outono","inverno","Chegadas","percent"
"221","América do Norte","2007-05-01",0,0,1,0,64291,-4.6372483643017e-07
"222","América do Norte","2007-06-01",0,0,0,1,66517,5.11663482926973e-07
"223","América do Norte","2007-07-01",0,0,0,1,73949,1.64747962118324e-06
"224","América do Norte","2007-08-01",0,0,0,1,61420,-2.79086776917574e-06
"225","América do Norte","2007-09-01",0,1,0,0,59644,-3.96786410688642e-07
"226","América do Norte","2007-10-01",0,1,0,0,56669,-8.33054912465787e-07
"227","América do Norte","2007-11-01",0,1,0,0,63950,2.02659452786265e-06
"228","América do Norte","2007-12-01",1,0,0,0,73110,2.36220205545133e-06
"229","América do Norte","2008-01-01",1,0,0,0,76300,6.67830836359465e-07
"230","América do Norte","2008-02-01",1,0,0,0,76578,4.97454648912092e-08
"231","América do Norte","2008-03-01",0,0,1,0,82830,1.02857779005983e-06
"232","América do Norte","2008-04-01",0,0,1,0,62325,-3.71422190708234e-06
"233","América do Norte","2008-05-01",0,0,1,0,57844,-9.00795577171024e-07
"234","América do Norte","2008-06-01",0,0,0,1,62990,1.36744888698422e-06
"235","América do Norte","2008-07-01",0,0,0,1,64116,3.06305911240528e-07
"236","América do Norte","2008-08-01",0,0,0,1,63925,-4.73634161991425e-08
"237","América do Norte","2008-09-01",0,1,0,0,52345,-3.11707061273212e-06
"238","América do Norte","2008-10-01",0,1,0,0,51245,-3.32238865667451e-07
"239","América do Norte","2008-11-01",0,1,0,0,50706,-2.0200220638314e-07
"240","América do Norte","2008-12-01",1,0,0,0,64176,4.59723021245578e-06
"241","América do Norte","2009-01-01",1,0,0,0,70319,1.80279894968567e-06
"242","América do Norte","2009-02-01",1,0,0,0,60950,-2.22806308656163e-06
"243","América do Norte","2009-03-01",0,0,1,0,76984,3.32120411448997e-06
"244","América do Norte","2009-04-01",0,0,1,0,53841,-5.86648645346761e-06
"245","América do Norte","2009-05-01",0,0,1,0,50461,-8.42181466555873e-07
"246","América do Norte","2009-06-01",0,0,0,1,61532,3.68411812558444e-06
"247","América do Norte","2009-07-01",0,0,0,1,62727,3.81177786090089e-07
"248","América do Norte","2009-08-01",0,0,0,1,65842,7.87654482558243e-07
"249","América do Norte","2009-09-01",0,1,0,0,51186,-4.01409082888639e-06
"250","América do Norte","2009-10-01",0,1,0,0,57012,1.63718773485271e-06
"251","América do Norte","2009-11-01",0,1,0,0,63842,2.21055579609363e-06
"252","América do Norte","2009-12-01",1,0,0,0,60302,-1.00059654621254e-06
"253","América do Norte","2010-01-01",1,0,0,0,55924,-1.18059654386431e-06
"254","América do Norte","2010-02-01",1,0,0,0,67054,3.00992734561227e-06
"255","América do Norte","2010-03-01",0,0,1,0,65097,-5.29643797248539e-07
"256","América do Norte","2010-04-01",0,0,1,0,57333,-1.89402706816012e-06
"257","América do Norte","2010-05-01",0,0,1,0,48976,-2.4201728493156e-06
"258","América do Norte","2010-06-01",0,0,0,1,74378,7.28777173676089e-06
"259","América do Norte","2010-07-01",0,0,0,1,48021,-8.93339153777561e-06
"260","América do Norte","2010-08-01",0,0,0,1,78696,6.64112927179794e-06
"261","América do Norte","2010-09-01",0,1,0,0,50579,-9.20546964503903e-06
