"","Continente","mes_ano","verao","primavera","outono","inverno","Chegadas","percent"
"123","Continente não especificado",1999-03-01,0,0,1,0,3447,-0.0942028985507246
"124","Continente não especificado",1999-04-01,0,0,1,0,2231,-0.315844155844156
"125","Continente não especificado",1999-05-01,0,0,1,0,1875,-0.103278212938787
"126","Continente não especificado",1999-06-01,0,0,0,1,2039,0.0735096369341103
"127","Continente não especificado",1999-07-01,0,0,0,1,2207,0.0896
"128","Continente não especificado",1999-08-01,0,0,0,1,2095,-0.0549288867091712
"129","Continente não especificado",1999-09-01,0,1,0,0,1943,-0.0688717716357046
"130","Continente não especificado",1999-10-01,0,1,0,0,2104,0.0768496420047733
"131","Continente não especificado",1999-11-01,0,1,0,0,2398,0.151312403499743
"132","Continente não especificado",1999-12-01,1,0,0,0,2694,0.140684410646388
"133","Continente não especificado",2000-01-01,1,0,0,0,3361,0.27814845704754
"134","Continente não especificado",2000-02-01,1,0,0,0,2902,-0.170378619153675
"135","Continente não especificado",2000-03-01,0,0,1,0,2597,-0.0907468015471586
"136","Continente não especificado",2000-04-01,0,0,1,0,1570,-0.353893866299104
"137","Continente não especificado",2000-05-01,0,0,1,0,1315,-0.09819021948402
"138","Continente não especificado",2000-06-01,0,0,0,1,1447,0.0840764331210191
"139","Continente não especificado",2000-07-01,0,0,0,1,1562,0.0874524714828897
"140","Continente não especificado",2000-08-01,0,0,0,1,1435,-0.087767795438839
"141","Continente não especificado",2000-09-01,0,1,0,0,1295,-0.089628681177977
"142","Continente não especificado",2000-10-01,0,1,0,0,1458,0.113588850174216
"143","Continente não especificado",2000-11-01,0,1,0,0,1688,0.177606177606178
"144","Continente não especificado",2000-12-01,1,0,0,0,1971,0.194101508916324
"145","Continente não especificado",2001-01-01,1,0,0,0,3064,0.647511848341232
"146","Continente não especificado",2001-02-01,1,0,0,0,2630,-0.220192795535261
"147","Continente não especificado",2001-03-01,0,0,1,0,2417,-0.0695169712793734
"148","Continente não especificado",2001-04-01,0,0,1,0,1574,-0.320532319391635
"149","Continente não especificado",2001-05-01,0,0,1,0,1275,-0.123707074886223
"150","Continente não especificado",2001-06-01,0,0,0,1,1307,0.0203303684879288
"151","Continente não especificado",2001-07-01,0,0,0,1,1449,0.111372549019608
"152","Continente não especificado",2001-08-01,0,0,0,1,1307,-0.108645753634277
"153","Continente não especificado",2001-09-01,0,1,0,0,1241,-0.0455486542443064
"154","Continente não especificado",2001-10-01,0,1,0,0,1146,-0.0726855394032135
"155","Continente não especificado",2001-11-01,0,1,0,0,1253,0.0862207896857373
"156","Continente não especificado",2001-12-01,1,0,0,0,1571,0.277486910994764
"157","Continente não especificado",2002-01-01,1,0,0,0,1453,-0.0941739824421389
"158","Continente não especificado",2002-02-01,1,0,0,0,963,-0.311903246339911
"159","Continente não especificado",2002-03-01,0,0,1,0,755,-0.143152099105299
"160","Continente não especificado",2002-04-01,0,0,1,0,492,-0.273104880581516
"161","Continente não especificado",2002-05-01,0,0,1,0,513,0.0278145695364238
"162","Continente não especificado",2002-06-01,0,0,0,1,543,0.0609756097560976
"163","Continente não especificado",2002-07-01,0,0,0,1,724,0.352826510721248
